iter	RMSE
0	172.4871989
1	163.3172054
2	154.4183616
3	146.4048552
4	138.3330093
5	130.9872966
6	124.0238813
7	117.3772407
8	111.0217887
9	105.1143286
10	99.45883702
11	93.96659705
12	88.92127282
13	84.37538537
14	79.97921304
15	75.71300536
16	71.70690308
17	67.82911997
18	64.26630656
19	60.81601914
20	57.50637066
21	54.5013942
22	51.55198446
23	48.83748846
24	46.24578299
25	43.84827
26	41.63940685
27	39.48428637
28	37.43357
29	35.45414969
30	33.66100945
31	31.9980839
32	30.53855707
33	28.93712413
34	27.4392552
35	26.03522253
36	24.6679955
37	23.40831407
38	22.22264725
39	21.17022572
40	20.13525893
41	19.13070459
42	18.17752605
43	17.31428923
44	16.46536961
45	15.71411942
46	15.03568858
47	14.332976
48	13.66798174
49	13.06178399
50	12.48745934
51	11.92707961
52	11.41302559
53	10.92716909
54	10.5156066
55	10.10628358
56	9.725408624
57	9.362729618
58	9.023842951
59	8.758285458
60	8.451482734
61	8.166803604
62	7.902405329
63	7.658619779
64	7.451850948
65	7.248624433
66	7.047364604
67	6.873495856
68	6.691072196
69	6.53559163
70	6.402435305
71	6.249960734
72	6.130147781
73	6.009723351
74	5.885899711
75	5.791811324
76	5.702177114
77	5.607770444
78	5.533734453
79	5.458923813
80	5.395561526
81	5.334883222
82	5.268205022
83	5.207418278
84	5.155338709
85	5.106678073
86	5.059202683
87	5.018610278
88	4.979574702
89	4.944612971
90	4.913754914
91	4.881169907
92	4.849694634
93	4.81260061
94	4.777663783
95	4.739550154
96	4.713856581
97	4.685665362
98	4.659331192
99	4.636991246
100	4.610946211
101	4.590642807
102	4.561755386
103	4.541518701
104	4.516551549
105	4.500830159
106	4.484758722
107	4.468318892
108	4.456294182
109	4.427191836
110	4.413494615
111	4.397108429
112	4.375469453
113	4.359265359
114	4.34156422
115	4.327212861
116	4.314051074
117	4.302740647
118	4.288738767
119	4.278312818
120	4.265582196
121	4.245315212
122	4.234727254
123	4.227537697
124	4.206914209
125	4.188712916
126	4.175441742
127	4.165226397
128	4.150472605
129	4.138258294
130	4.115941977
131	4.103170106
132	4.094157432
133	4.079613821
134	4.065685594
135	4.055818359
136	4.045109154
137	4.034819864
138	4.023568029
139	4.01432973
140	4.00353911
141	3.9944886
142	3.981042712
143	3.962933469
144	3.949143746
145	3.938005322
146	3.930377137
147	3.919684835
148	3.908554046
149	3.898648156
150	3.887051739
151	3.877684552
152	3.870553572
153	3.864032123
154	3.856321019
155	3.849971718
156	3.839750113
157	3.83183734
158	3.824805785
159	3.806676361
160	3.797968908
161	3.791436227
162	3.780778709
163	3.77459768
164	3.765014421
165	3.750005027
166	3.737749623
167	3.73171357
168	3.717584224
169	3.713013421
170	3.704017245
171	3.696330277
172	3.688894939
173	3.682563018
174	3.676762706
175	3.668840748
176	3.655878582
177	3.640079331
178	3.633276752
179	3.62690461
180	3.617355129
181	3.60758397
182	3.598405282
183	3.592610486
184	3.579375072
185	3.573043311
186	3.563315739
187	3.554944242
188	3.550295153
189	3.538606379
190	3.531086063
191	3.519495311
192	3.505087626
193	3.499509768
194	3.486608901
195	3.47932484
196	3.467677407
197	3.459178622
198	3.45077841
199	3.445788817
200	3.438172579
201	3.43235605
202	3.426826746
203	3.417447722
204	3.409591641
205	3.402998236
206	3.397407508
207	3.393062247
208	3.38808469
209	3.378065973
210	3.369835911
211	3.362606275
212	3.354187292
213	3.350405676
214	3.339897384
215	3.331562269
216	3.327954613
217	3.322385441
218	3.316243039
219	3.308872335
220	3.301403154
221	3.29551581
222	3.291453792
223	3.28606867
224	3.278561116
225	3.272167373
226	3.268062751
227	3.256803371
228	3.248942602
229	3.243672797
230	3.239764656
231	3.228527723
232	3.220615726
233	3.214202652
234	3.206976935
235	3.199509516
236	3.193976797
237	3.188002353
238	3.179649718
239	3.173719917
240	3.166817482
241	3.161664694
242	3.156496077
243	3.150644776
244	3.14531474
245	3.139250067
246	3.133799658
247	3.130971508
248	3.127754641
249	3.122020173
250	3.118411963
251	3.11064749
252	3.106214925
253	3.101339726
254	3.091065081
255	3.081313776
256	3.07660729
257	3.073442787
258	3.066855521
259	3.062007881
260	3.055473423
261	3.051608587
262	3.04420425
263	3.037044939
264	3.031354507
265	3.025980903
266	3.020731759
267	3.015351457
268	3.009672417
269	3.005609651
270	3.000006957
271	2.99599399
272	2.992436243
273	2.987107531
274	2.982912637
275	2.977174538
276	2.973203793
277	2.969558419
278	2.966168881
279	2.962051257
280	2.954148644
281	2.948319519
282	2.944554211
283	2.938289604
284	2.930010731
285	2.926418565
286	2.922064747
287	2.914590597
288	2.909058561
289	2.905325574
290	2.902176623
291	2.897272275
292	2.892397081
293	2.888782561
294	2.883704959
295	2.879994078
296	2.874116272
297	2.867004366
298	2.861870796
299	2.856718697
300	2.85330839
301	2.848054543
302	2.842422453
303	2.839625535
304	2.834327663
305	2.829997782
306	2.826567894
307	2.821516678
308	2.81752099
309	2.814569854
310	2.808993494
311	2.80383436
312	2.799867518
313	2.796768981
314	2.793873879
315	2.790762106
316	2.787729886
317	2.783996231
318	2.779189431
319	2.77675528
320	2.77370546
321	2.771170683
322	2.768039383
323	2.761698604
324	2.759456832
325	2.753920724
326	2.751284316
327	2.746921029
328	2.743823306
329	2.740070982
330	2.737047848
331	2.733755866
332	2.730499477
333	2.727397725
334	2.724784669
335	2.720502386
336	2.71793438
337	2.712883692
338	2.710294883
339	2.706932687
340	2.703126896
341	2.699303356
342	2.694541687
343	2.691377305
344	2.685780253
345	2.682531604
346	2.679297769
347	2.67669689
348	2.674193562
349	2.671545545
350	2.669297509
351	2.666306635
352	2.663238383
353	2.660813836
354	2.658581836
355	2.653678963
356	2.651893716
357	2.649819393
358	2.645176348
