iter	Passed	Remaining
0	148	147859
1	156	77976
2	165	55097
3	175	43722
4	185	36874
5	195	32335
6	205	29165
7	214	26612
8	223	24616
9	232	23059
10	241	21732
11	251	20689
12	259	19673
13	265	18721
14	271	17848
15	275	16957
16	280	16207
17	284	15509
18	288	14885
19	292	14332
20	296	13839
21	301	13391
22	305	12973
23	309	12580
24	313	12241
25	318	11922
26	322	11626
27	327	11361
28	331	11104
29	336	10866
30	340	10636
31	344	10416
32	348	10207
33	352	10020
34	356	9834
35	361	9667
36	365	9500
37	368	9338
38	373	9193
39	377	9063
40	381	8931
41	386	8809
42	390	8693
43	395	8584
44	399	8483
45	403	8371
46	408	8274
47	412	8175
48	416	8085
49	420	7990
50	424	7906
51	429	7822
52	433	7740
53	437	7661
54	441	7590
55	445	7517
56	450	7450
57	454	7378
58	458	7309
59	462	7247
60	466	7179
61	470	7115
62	474	7058
63	478	6998
64	482	6941
65	486	6890
66	490	6836
67	494	6781
68	499	6733
69	503	6683
70	507	6636
71	511	6590
72	515	6541
73	519	6496
74	523	6455
75	527	6417
76	532	6379
77	536	6343
78	540	6302
79	545	6267
80	549	6229
81	553	6193
82	557	6156
83	561	6124
84	565	6087
85	571	6074
86	606	6361
87	612	6346
88	616	6311
89	621	6287
90	628	6279
91	632	6244
92	636	6207
93	640	6174
94	645	6145
95	649	6113
96	652	6078
97	657	6048
98	660	6013
99	664	5980
100	668	5951
101	672	5919
102	676	5889
103	680	5860
104	684	5835
105	688	5810
106	692	5782
107	696	5755
108	700	5728
109	704	5703
110	709	5681
111	714	5662
112	718	5640
113	723	5619
114	727	5597
115	731	5575
116	735	5552
117	740	5531
118	744	5508
119	748	5488
120	752	5468
121	757	5450
122	761	5430
123	765	5408
124	770	5390
125	774	5369
126	778	5351
127	782	5332
128	787	5315
129	791	5295
130	795	5279
131	799	5259
132	804	5242
133	808	5227
134	812	5207
135	816	5189
136	820	5171
137	825	5154
138	829	5135
139	833	5118
140	837	5102
141	841	5085
142	845	5069
143	850	5054
144	854	5036
145	858	5020
146	862	5002
147	866	4987
148	870	4971
149	874	4958
150	879	4943
151	883	4930
152	888	4916
153	892	4900
154	896	4886
155	900	4872
156	904	4858
157	909	4844
158	912	4828
159	917	4816
160	921	4803
161	926	4790
162	930	4777
163	934	4763
164	938	4751
165	942	4737
166	947	4724
167	951	4711
168	955	4699
169	959	4685
170	963	4672
171	967	4658
172	972	4648
173	976	4636
174	980	4624
175	985	4611
176	989	4602
177	994	4590
178	998	4578
179	1002	4566
180	1006	4553
181	1010	4541
182	1014	4531
183	1019	4520
184	1023	4510
185	1027	4498
186	1032	4487
187	1036	4477
188	1041	4468
189	1045	4457
190	1049	4445
191	1054	4436
192	1058	4425
193	1063	4417
194	1067	4407
195	1071	4396
196	1076	4386
197	1080	4375
198	1084	4364
199	1088	4352
200	1092	4341
201	1096	4330
202	1100	4321
203	1104	4311
204	1109	4301
205	1113	4292
206	1117	4282
207	1122	4272
208	1126	4263
209	1130	4253
210	1135	4244
211	1139	4234
212	1143	4225
213	1147	4216
214	1152	4208
215	1157	4199
216	1161	4191
217	1166	4182
218	1170	4174
219	1175	4166
220	1179	4158
221	1184	4150
222	1188	4142
223	1192	4132
224	1197	4123
225	1201	4114
226	1205	4106
227	1209	4096
228	1214	4087
229	1218	4078
230	1222	4068
231	1226	4061
232	1231	4053
233	1235	4045
234	1240	4037
235	1244	4028
236	1248	4019
237	1252	4011
238	1257	4003
239	1261	3994
240	1265	3986
241	1269	3977
242	1274	3969
243	1278	3961
244	1283	3954
245	1287	3946
246	1291	3938
247	1296	3930
248	1300	3923
249	1305	3915
250	1308	3905
251	1312	3896
252	1316	3887
253	1320	3879
254	1324	3870
255	1329	3863
256	1334	3856
257	1338	3849
258	1342	3842
259	1347	3835
260	1351	3827
261	1355	3818
262	1359	3810
263	1364	3804
264	1369	3797
265	1373	3788
266	1377	3782
267	1381	3773
268	1385	3766
269	1389	3756
270	1393	3749
271	1398	3742
272	1402	3735
273	1407	3728
274	1411	3720
275	1415	3711
276	1419	3705
277	1423	3697
278	1428	3690
279	1432	3683
280	1436	3675
281	1441	3669
282	1444	3660
283	1449	3654
284	1453	3647
285	1458	3640
286	1462	3633
287	1467	3626
288	1471	3619
289	1475	3612
290	1479	3604
291	1483	3597
292	1487	3590
293	1492	3582
294	1496	3575
295	1500	3569
296	1504	3562
297	1509	3555
298	1513	3547
299	1517	3539
300	1521	3532
301	1525	3525
302	1529	3518
303	1533	3511
304	1538	3505
305	1542	3497
306	1546	3491
307	1551	3485
308	1555	3479
309	1560	3472
310	1564	3466
311	1568	3459
312	1573	3452
313	1577	3445
314	1581	3439
315	1585	3432
316	1590	3426
317	1594	3419
318	1598	3412
319	1602	3405
320	1606	3397
321	1610	3390
322	1614	3383
323	1618	3377
324	1622	3369
325	1626	3363
326	1630	3356
327	1635	3350
328	1639	3343
329	1643	3337
330	1647	3330
331	1652	3324
332	1656	3317
333	1660	3310
334	1664	3303
335	1668	3296
336	1672	3290
337	1676	3283
338	1680	3277
339	1685	3271
340	1688	3263
341	1692	3256
342	1696	3249
343	1700	3243
344	1704	3236
345	1709	3230
346	1712	3223
347	1716	3216
348	1720	3209
349	1724	3202
350	1728	3196
351	1733	3190
352	1737	3183
353	1740	3176
354	1744	3170
355	1749	3165
356	1753	3159
357	1758	3152
358	1762	3147
359	1766	3140
360	1770	3133
361	1774	3127
362	1778	3120
363	1782	3113
364	1786	3108
365	1790	3102
366	1795	3097
367	1799	3090
368	1803	3084
369	1807	3078
370	1812	3072
371	1816	3066
372	1820	3060
373	1824	3054
374	1828	3047
375	1832	3041
376	1837	3036
377	1841	3030
378	1845	3024
379	1849	3018
380	1854	3012
381	1858	3006
382	1862	3000
383	1866	2994
384	1870	2988
385	1875	2983
386	1880	2978
387	1884	2972
388	1889	2967
389	1893	2960
390	1896	2954
391	1901	2948
392	1904	2941
393	1908	2935
394	1913	2930
395	1917	2924
396	1921	2918
397	1926	2913
398	1930	2908
399	1934	2901
400	1938	2895
401	1942	2889
402	1945	2882
403	1950	2876
404	1954	2871
405	1958	2865
406	1962	2859
407	1966	2853
408	1970	2847
409	1974	2841
410	1979	2836
411	1982	2829
412	1986	2824
413	1990	2817
414	1995	2812
415	1998	2806
416	2003	2800
417	2007	2794
418	2011	2788
419	2014	2782
420	2019	2777
421	2023	2771
422	2027	2765
423	2031	2759
424	2035	2754
425	2039	2748
426	2043	2742
427	2047	2736
428	2052	2731
429	2056	2726
430	2061	2720
431	2065	2715
432	2069	2709
433	2073	2703
434	2077	2698
435	2081	2692
436	2085	2686
437	2090	2682
438	2094	2676
439	2097	2670
440	2102	2665
441	2107	2660
442	2111	2654
443	2115	2649
444	2119	2643
445	2123	2637
446	2127	2632
447	2132	2627
448	2136	2621
449	2140	2615
450	2144	2610
451	2149	2605
452	2153	2599
453	2157	2594
454	2161	2588
455	2165	2582
456	2169	2577
457	2173	2572
458	2178	2567
459	2182	2562
460	2186	2556
461	2191	2551
462	2195	2546
463	2199	2540
464	2203	2535
465	2207	2530
466	2212	2524
467	2216	2519
468	2220	2514
469	2224	2508
470	2228	2503
471	2233	2497
472	2237	2493
473	2241	2487
474	2245	2482
475	2249	2476
476	2253	2471
477	2257	2465
478	2262	2460
479	2267	2455
480	2271	2450
481	2276	2446
482	2280	2440
483	2284	2435
484	2288	2430
485	2292	2425
486	2297	2419
487	2301	2414
488	2305	2409
489	2309	2404
490	2313	2398
491	2318	2393
492	2322	2388
493	2325	2382
494	2329	2376
495	2334	2371
496	2338	2366
497	2342	2361
498	2346	2355
499	2351	2351
500	2355	2345
501	2359	2340
502	2363	2334
503	2366	2329
504	2370	2323
505	2375	2318
506	2378	2313
507	2383	2308
508	2387	2303
509	2391	2298
510	2396	2293
511	2400	2287
512	2404	2283
513	2409	2278
514	2413	2273
515	2417	2267
516	2422	2262
517	2426	2257
518	2430	2252
519	2434	2247
520	2439	2242
521	2443	2237
522	2447	2232
523	2452	2227
524	2456	2222
525	2460	2217
526	2464	2212
527	2468	2207
528	2473	2201
529	2477	2196
530	2481	2191
531	2485	2186
532	2489	2181
533	2494	2176
534	2498	2171
535	2503	2166
536	2507	2161
537	2511	2156
538	2516	2152
539	2520	2147
540	2524	2142
541	2528	2136
542	2533	2132
543	2537	2126
544	2541	2122
545	2545	2116
546	2549	2111
547	2554	2106
548	2558	2102
