humidity,weathersit,holiday,season,atemp,temperature,hr,total,day,month,year
83,3,0,3,0.5758,0.62,20,241,25,8,2012
62,1,0,1,0.4394,0.44,1,18,24,2,2012
51,1,0,1,0.2273,0.22,3,1,5,3,2012
35,1,0,3,0.7879,0.88,18,339,30,6,2012
79,1,0,3,0.697,0.72,2,8,6,9,2012
46,1,0,2,0.6212,0.6,10,255,18,5,2012
93,2,0,1,0.2576,0.2,10,149,23,1,2012
67,1,0,2,0.4242,0.42,10,380,29,4,2012
93,1,0,4,0.3485,0.32,2,5,9,11,2011
64,2,0,1,0.2273,0.22,23,40,25,1,2011
51,1,0,3,0.6667,0.72,11,192,1,9,2011
31,1,0,3,0.697,0.8,13,231,29,6,2011
44,1,0,2,0.7576,0.84,12,207,10,6,2011
87,2,0,1,0.3788,0.36,8,343,22,12,2011
62,2,0,2,0.6818,0.72,18,399,27,5,2011
46,1,0,4,0.3182,0.34,21,123,4,11,2011
66,1,0,1,0.3485,0.36,11,171,22,2,2012
61,2,0,1,0.2727,0.3,15,124,11,2,2012
73,2,0,4,0.5303,0.56,5,40,15,10,2012
93,1,0,1,0.2727,0.26,22,45,5,2,2011
60,1,0,1,0.2576,0.26,5,17,3,2,2012
71,1,0,4,0.3485,0.36,21,88,2,10,2011
49,1,0,2,0.3636,0.34,22,55,29,3,2011
68,1,0,4,0.4848,0.5,8,211,29,9,2012
38,1,0,2,0.7121,0.8,16,308,7,6,2011
88,1,0,4,0.4848,0.5,5,22,29,11,2011
63,2,0,4,0.4848,0.5,12,304,20,11,2011
52,1,0,3,0.7424,0.8,7,45,23,7,2011
94,2,0,4,0.5152,0.54,1,12,13,10,2011
61,3,0,2,0.6515,0.7,14,428,5,5,2012
70,3,0,3,0.697,0.74,22,122,8,7,2012
72,1,0,1,0.4394,0.44,6,117,15,3,2012
54,1,0,4,0.4242,0.42,2,65,16,10,2011
83,2,0,3,0.6061,0.66,19,183,3,7,2011
40,2,0,1,0.197,0.2,17,281,4,1,2012
70,1,0,3,0.6818,0.72,8,668,3,8,2012
60,1,0,2,0.5455,0.58,21,261,28,3,2012
88,1,0,4,0.4242,0.42,7,502,4,12,2012
40,1,0,1,0.6212,0.6,16,283,1,2,2012
93,2,0,1,0.303,0.3,4,1,16,3,2011
50,1,0,2,0.6212,0.66,19,686,23,3,2012
62,1,1,2,0.7424,0.78,20,317,28,5,2012
71,1,0,4,0.3333,0.34,8,665,20,11,2012
26,1,0,2,0.6061,0.6,13,363,11,5,2012
83,3,0,2,0.5758,0.62,22,59,27,5,2012
50,1,0,1,0.1364,0.16,5,2,3,2,2011
47,1,0,1,0.1667,0.16,2,38,14,1,2012
37,1,0,1,0.197,0.22,10,63,7,1,2011
34,1,0,2,0.6364,0.7,12,211,15,6,2011
48,1,0,1,0.2273,0.26,12,158,9,2,2012
39,2,0,2,0.6515,0.72,16,471,21,5,2011
100,2,0,4,0.5152,0.54,5,17,13,10,2011
62,2,0,1,0.3485,0.36,23,59,27,2,2011
33,1,0,2,0.4545,0.46,14,300,27,4,2012
89,1,0,3,0.5909,0.66,2,77,8,9,2012
27,1,0,3,0.7879,0.9,15,526,31,8,2012
49,1,0,3,0.7424,0.8,13,569,11,8,2012
70,2,0,3,0.7273,0.76,18,536,21,6,2011
84,1,0,3,0.6667,0.7,3,6,20,7,2011
75,2,0,1,0.2727,0.28,2,7,26,1,2012
88,2,0,4,0.4545,0.46,2,8,10,10,2012
73,1,0,3,0.6061,0.64,20,196,2,9,2011
70,1,0,1,0.2727,0.26,23,77,3,2,2012
42,1,0,1,0.303,0.34,13,118,5,1,2012
60,1,0,4,0.5303,0.56,16,264,28,11,2011
38,1,0,1,0.2273,0.24,17,190,5,1,2011
37,1,0,4,0.5152,0.54,16,605,10,11,2012
56,1,0,1,0.3485,0.34,6,88,12,3,2012
51,1,0,3,0.6667,0.72,17,590,12,9,2011
83,1,0,2,0.5455,0.58,2,11,4,5,2012
48,1,0,3,0.6667,0.72,21,314,28,8,2012
44,2,0,1,0.2121,0.24,18,125,30,12,2012
77,1,0,3,0.5152,0.54,1,28,13,9,2012
78,1,0,3,0.6061,0.66,5,21,28,6,2011
39,1,0,4,0.2727,0.32,2,32,24,11,2012
51,1,0,2,0.4545,0.46,9,170,14,4,2011
76,1,0,4,0.3333,0.32,9,365,21,11,2012
65,1,0,2,0.6515,0.7,23,90,26,5,2011
